file_path,actual_media_type,route_detected_type,route_selected,route_correct,true_label,final_label_id,final_label_name,binary_label_id,binary_label_name,native_label_id,native_label_name,native_confidence,path_specific_subtype,path_specific_probabilities,confidence,prob_real,prob_fake,pipeline_success,final_correct,error_stage
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002482_001280.jpg,image,image,image_path,True,1,1,Fake,1,Fake,1,Full-Synthetic,0.9903571009635925,,"{'Real': 0.004139325115829706, 'Full-Synthetic': 0.9903571009635925, 'Tampered': 0.0055035133846104145}",0.9958606362342834,0.004139325115829706,0.9958606143482029,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/002042_003164.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.9427381157875061,,"{'Real': 0.9427381157875061, 'Full-Synthetic': 0.004745776765048504, 'Tampered': 0.052516110241413116}",0.9427381157875061,0.9427381157875061,0.05726188700646162,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/tampered/002788_000753.jpg,image,image,image_path,True,1,1,Fake,1,Fake,2,Tampered,0.9845786094665527,,"{'Real': 0.009029693901538849, 'Full-Synthetic': 0.0063917189836502075, 'Tampered': 0.9845786094665527}",0.9909703135490417,0.009029693901538849,0.9909703284502029,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/001586_002959.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.7476878762245178,,"{'Real': 0.7476878762245178, 'Full-Synthetic': 0.014707746915519238, 'Tampered': 0.2376043200492859}",0.7476878762245178,0.7476878762245178,0.2523120669648051,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/tampered/000826_001011.jpg,image,image,image_path,True,1,0,Real,0,Real,0,Real,0.9461517333984375,,"{'Real': 0.9461517333984375, 'Full-Synthetic': 0.014916126616299152, 'Tampered': 0.03893214464187622}",0.9461517333984375,0.9461517333984375,0.05384827125817537,True,0.0,
/content/drive/MyDrive/skripsi/dataset_image/tampered/003018_000098.jpg,image,image,image_path,True,1,1,Fake,1,Fake,2,Tampered,0.6774137020111084,,"{'Real': 0.30724963545799255, 'Full-Synthetic': 0.015336758457124233, 'Tampered': 0.6774137020111084}",0.6927504539489746,0.30724963545799255,0.6927504604682326,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/000904_001725.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.976099967956543,,"{'Real': 0.976099967956543, 'Full-Synthetic': 0.013212086632847786, 'Tampered': 0.010687883011996746}",0.976099967956543,0.976099967956543,0.023899969644844532,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/001614_001718.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.9585493803024292,,"{'Real': 0.9585493803024292, 'Full-Synthetic': 0.012436899356544018, 'Tampered': 0.02901369333267212}",0.9585493803024292,0.9585493803024292,0.04145059268921614,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/tampered/001871_002708.jpg,image,image,image_path,True,1,1,Fake,1,Fake,2,Tampered,0.5798749327659607,,"{'Real': 0.07206710427999496, 'Full-Synthetic': 0.34805792570114136, 'Tampered': 0.5798749327659607}",0.927932858467102,0.07206710427999496,0.927932858467102,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/003047_002393.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.7821364998817444,,"{'Real': 0.7821364998817444, 'Full-Synthetic': 0.012777162715792656, 'Tampered': 0.2050863355398178}",0.7821364998817444,0.7821364998817444,0.21786349825561047,True,1.0,
/content/drive/MyDrive/skripsi/dataset_image/real/001584_001567.jpg,image,image,image_path,True,0,0,Real,0,Real,0,Real,0.9000948071479797,,"{'Real': 0.9000948071479797, 'Full-Synthetic': 0.01203070767223835, 'Tampered': 0.08787442743778229}",0.9000948071479797,0.9000948071479797,0.09990513511002064,True,1.0,
